# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	Resources\Textures\mario.png	255	255	255
1	Resources\Textures\mar.png	68	145	190
2	Resources\Textures\mar2.png	68	145	190
20	Resources\Textures\misc.png	176	224	248
21	Resources\Textures\misc2.png	166	185	255
10	Resources\Textures\enemies.png	3	26	110
30	Resources\Tilemap\world1-1_bank.png	0	0	0
40	Resources\Textures\enemies1.1.png	0	255	255
50	Resources\Textures\enemies-2.png	0	128	128
100	Resources\Textures\mario-left.png	255	255	255
12606	495	142	519	170	110
#kick right
12700	641	142	663	170	110
#turning tail right
12803	78	107	101	135	110
12804	174	142	190	170	110
12805	193	142	216	170	110
12806	219	142	235	170	110
#flapping tail right
12203	283	143	306	170	110
12204	309	143	332	170	110
12205	335	142	357	170	110
# --Left--
# idle left
12011	739	142	760	170	100
#walk left
12012	714	142	736	170	100
12013	688	143	711	170	100
#max speed left
12114	456	142	480	170	100
12115	429	142	453	170	100
#jump up left
12211	560	143	583	170	100
#jump down left
12212	508	143	531	170	100
#brake left
12317	155	140	171	170	110
#sit left
12418	296	152	318	170	100
#hold idle left
12510	253	142	274	170	100
#hold walk left
12511	228	142	250	170	100
12512	202	143	225	170	100
#hold jump left
12513	202	143	225	170	100
#fly up left
12612	321	142	345	170	100
#fly down left
12613	375	143	399	170	100
#fly left
12614	375	143	399	170	100
12615	348	143	372	170	100
12616	321	142	345	170	100
#kick left
12710	177	142	199	170	100
#turning tail left
12813	739	107	762	135	100
12814	650	142	666	170	100
12815	624	142	647	170	100
12816	605	142	621	170	100
#flapping tail left
12213	534	143	557	170	100
12214	508	143	531	170	100
12215	483	142	505	170	100
#  ==== Fire Mario ==== 
# --Right--
# idle right
13001	246	394	260	421	0
#walk right
13002	275	394	291	421	0
13003	305	395	321	421	0
#max speed right
13104	334	394	353	421	0
13105	362	394	381	421	0
#jump up right
13201	395	515	411	541	0
#jump down right
13202	305	395	321	421	0
#brake right
13307	5	394	21	422	0
#sit right
13408	426	479	440	497	0
#hold idle right
13500	336	474	350	501	0
#hold walk right
13501	336	474	350	501	0
13502	276	554	291	581	0
#hold jump right
13503	305	555	321	581	0
#fly right
13602	394	435	413	461	0
#kick right
13700	423	514	444	541	0
#shoot right
13800	396	474	410	501	0
13801	366	474	380	501	0
13802	336	474	350	501	0
#shoot jump right
13803	394	435	413	461	0
13804	244	434	262	461	0
13805	304	434	323	461	0
# --Left--
# idle left
13011	186	394	200	421	0
#walk left
13012	155	394	171	421	0
13013	125	395	141	421	0
#max speed left
13114	93	394	112	421	0
13115	65	394	84	421	0
#jump up left
13211	35	515	51	541	0
#jump down left
13212	125	395	141	421	0
#brake left
13317	425	394	441	422	0
#sit left
13418	6	479	20	497	0
#hold idle left
13510	96	474	110	501	0
#hold walk left
13511	96	474	110	501	0
13512	155	554	170	581	0
#hold jump left
13513	125	555	141	581	0
#fly left
13612	33	435	52	461	0
#kick right
13710	2	514	23	541	0
#shoot left
13810	36	474	50	501	0
13811	66	474	80	501	0
13812	96	474	110	501	0
#shoot jump left
13813	33	435	52	461	0
13814	184	434	202	461	0
13815	123	434	142	461	0
#Trasnform
14020	415	1	431	17	1
14021	435	3	447	15	1
14022	450	3	465	15	1
#==== Fire Bullet
# --- Right ---
901	240	554	248	562	0
902	258	553	266	562	0
903	258	574	266	582	0
904	258	574	266	582	0
# --- Left ---
911	198	554	206	562	0
912	180	553	188	562	0
913	180	574	188	582	0
914	198	573	206	582	0
# ==== Brick ==== 
20001	408	225	424	241	20
#cloud brick
20002	64	32	80	48	30
#brick with question mark animation
20101	157	188	173	204	21
20102	176	188	192	204	21
20103	196	188	212	204	21
20104	215	188	231	204	21
20105	235	188	251	204	21
#platform brick
20011	112	128	128	144	30
20012	128	128	144	144	30
20013	144	128	160	144	30
#brick with flash animation
20111	274	188	290	204	21
20112	293	188	309	204	21
20113	312	188	328	204	21
20114	331	188	347	204	21
20115	274	188	290	204	21
#piece of brick
20116	458	120	466	128	20
20117	472	120	480	128	20
# ==== Block  ====
# pink 
90001	64	16	80	32	30
90002	80	16	96	32	30
90003	96	16	112	32	30
# cyan
90004	128	64	144	80	30
90005	144	64	160	80	30
90006	160	64	176	80	30
# green
90007	0	48	16	64	30
90008	16	48	32	64	30
90009	32	48	48	64	30
# white
90010	160	48	176	64	30
90011	0	64	16	80	30
90012	16	64	32	80	30
# ==== Pipe ==== 
50021	160	0	176	16	30
50022	0	16	16	32	30
50023	32	16	48	32	30
50024	48	16	64	32	30	
# ==== Coin ====
30000	300	99	316	115	20
30001	318	99	334	115	20
30002	336	99	352	115	20
# === Leaf ===
30010	180	123	196	137	21
30011	377	123	393	137	21
# === MushRoom ===
30012	156	121	172	137	21
30013	286	121	302	137	21
# === Switch ===
30014	156	144	172	160	21
30015	178	144	194	160	21
30016	200	153	216	160	21
# ==== Goomba ==== 
# --- Yellow ---
#walk 
70301	5	14	21	30	10
70302	25	14	41	30	10
#die
70303	45	21	61	30	10

# --- Red ---
60086	394	80	412	102	50
60087	415	80	433	102	50
60088	436	80	454	102	50
60089	457	80	475	102	50
#walk wings
60090	436	85	454	102	50
60091	457	85	475	102	50
#walk			
60092	170	108	186	124	50
60093	187	108	203	124	50
#die 
60099	204	115	220	124	50
# ==== Red Koopas ====
# -- Right --
#walk right
40000	585	66	601	93	40
40001	604	67	620	93	40
#spin right
40200	603	97	619	113	40
40201	582	96	598	112	40
40202	561	96	577	112	40
# -- Left --
#walk left
40010	47	66	63	93	40
40011	28	67	44	93	40
#spin left
40210	29	97	45	113	40
40211	50	96	66	112	40
40212	71	96	87	112	40
#shell
40710	29	97	45	113	40
#shake
40830	29	97	45	113	40
40831	71	75	89	91	40
#die
40930	327	87	343	103	40
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== Mario =========
#Type Level State Direction
# Type: 1 = Mario
# Level: 0 = Small; 1 = Big; 2 = Tail; 3 = Fire
# State: 0 = Walk; 1 = max speed; 2 = Jump; 3 = Brake; 4 = Sitdown; 5 = Hold; 6 = Fast 
# Direction: 0 = Right; 1 = Left, null = Idle; 3 = RightDown; 4 = LeftDown
# ==== SMALL =====
#idle small right
100	10001	100
#walk small right
1000	10001	100	10002	100	10003	100
#walk fast small right
1060	10001	50	10002	50	10003	50
#max speed small right
1010	10104	50	10105	50
#jump up small right
1020	10201	100
#jump down small right
1023	10202	100
#brake small right 
1030	10307	100
#hold idle small right
10500	10500	100
#hold walk small right
10510	10501	100	10502	100
#hold jump small right
10530	10503	100
#fly right
10620	10602	100
#hold kick small right
10570	10700	200
#idle small left
101	10011	100
#walk small left
1001	10011	100	10012	100	10013	100
#walk fast small left
1061	10011	50	10012	50	10013	50
#max speed small left
1011	10114	50	10115	50
#jump up small left
1021	10211	100
#jump down small left
1024	10212	100
#brake small left 
1031	10317	100
#hold idle small left
10501	10500	100
#hold walk small left
10511	10501	100	10502	100
#hold jump small left
10531	10503	100
#fly left
10621	10612	100
#hold kick small left
10571	10700	200
# ==== BIG =====
#idle big right
110	11001	100
#walk big right
1100	11001	100	11002	100	11003	100
#walk fast big right
1160	11001	50	11002	50	11003	50
#max speed big right
1110	11104	100	11105	100
#jump up big right
1120	11201	100
#jump down big right
1123	11202	100
#brake big right 
1130	11307	100
#sit big right
1140	11408	100
#hold idle big right
11500	11500	100
#hold walk big right
11510	11501	100	11502	100
#hold jump big right
11530	11503	100
#fly right
11620	11602	100
#hold kick big right
11570	11700	200

#idle big left
111	11011	100
#walk big left
1101	11011	100	11012	100	11013	100
#walk fast big left
1161	11011	50	11012	50	11013	50
#max speed big left
1111	11114	100	11115	100
#jump up big left
1121	11211	100
#jump down big left
1124	11212	100
#brake big left 
1131	11317	100
#sit big left
1141	11418	100
#hold idle big left
11501	11510	100
#hold walk big left
11511	11511	100	11512	100
#hold jump big left
11531	11513	100
#fly left
11621	11612	100
#hold kick big left
11571	11710	200
# ==== TAIL =====
#idle tail right
120	12001	100
#walk tail right
1200	12001	100	12002	100	12003	100
#walk fast tail right
1260	12001	50	12002	50	12003	50
#max speed tail right
1210	12104	100	12105	100
#jump up tail right
1220	12201	100
#jump down tail right
1223	12202	100
#brake tail right 
1230	12307	100
#sit tail right
1240	12408	100
#hold idle tail right
12500	12500	100
#hold walk tail right
12510	12501	100	12502	100
#hold jump tail right
12530	12503	100
#fly up right
12620	12602	100
#fly down right
12630	12603	100
#fly flapping right
12640	12604	100	12605	100	12606	100
#hold kick tail right
12570	12700	200
#turning tail right
1280	12803	50	12804	50	12805	50	12806	50
#flapping tail right
1226	12203	100	12204	100	12205	100	12204	100

#idle tail left
121	12011	100
#walk tail left
1201	12011	100	12012	100	12013	100
#walk fast tail left
1261	12011	50	12012	50	12013	50
#max speed tail left
1211	12114	100	12115	100
#jump up tail left
1221	12211	100
#jump down tail left
1224	12212	100
#brake tail left 
1231	12317	100
#sit tail left
1241	12418	100
#hold idle tail left
12501	12510	100
#hold walk tail left
12511	12511	100	12512	100
#hold jump tail left
12531	12513	100
#fly up left
12621	12612	100
#fly down left
12631	12613	100
#fly flapping left
12641	12614	100	12615	100	12616	100
#hold kick tail left
12571	12710	200
#turning tail left
1281	12813	50	12814	50	12815	50	12816	50
#flapping tail left
1228	12213	100	12214	100	12215	100	12214	100
# ==== FIRE =====
#idle fire right
130	13001	100
#walk fire right
1300	13001	100	13002	100	13003	100
#walk fast fire right
1360	13001	50	13002	50	13003	50
#max speed fire right
1310	13104	100	13105	100
#jump up fire right
1320	13201	100
#jump down fire right
1323	13202	100
#brake fire right 
1330	13307	100
#sit fire right
1340	13408	100
#hold idle fire right
13500	13500	100
#hold walk fire right
13510	13501	100	13502	100
#hold jump fire right
13530	13503	100
#fly right
13620	13602	100
#hold kick fire right
13570	13700	200
#shoot fire right
1380	13800	50	13801	50	13802	50
#shoot jump fire right
1382	13803	50	13804	50	13805	50
#idle fire left
131	13011	100
#walk fire left
1301	13011	100	13012	100	13013	100
#walk fire left
1361	13011	50	13012	50	13013	50
#max speed fire left
1311	13114	100	13115	100
#jump up fire left
1321	13211	100
#jump down fire left
1324	13212	100
#brake fire left 
1331	13317	100
#sit fire left
1341	13418	100
#hold idle fire left
13501	13510	100
#hold walk fire left
13511	13511	100	13512	100
#hold jump fire left
13531	13513	100
#fly left
13621	13612	100
#hold kick fire left
13571	13710	200
#shoot fire leftt
1381	13810	50	13811	50	13812	50
#shoot jump fire right
1383	13813	50	13814	50	13815	50
#die
1099	10909	100
# ==== Trasnform ====
# ---- small ----
1400	14002	50	14001	50	14002	50	11001	50	14002	50
1401	14012	50	14011	50	14012	50	11011	50	14012	50
# ---- bang ---
1420	14022	100	14021	100	14020	100	14021	100
#==== Fire Bullet
# --- Right ---
90	901	100	902	100	903	100	904	100
# --- Left ---
91	911	100	912	100	913	100	914	100
# ==== Brick =========
601	20001	100
# ==== Brick With Question Mark =========
602	20101	100	20102	100	20103	100	20104	100
6021	20105	100
# ==== platform Brick =========
603	20011	100
604	20012	100
605	20013	100
# ==== Brick With Flash Animation =========
606	20111	200	20112	200	20113	200	20114	200	20115	200
# --- piece of brick ---
6061	20116	250	20117	250
# ==== Cloud Brick =========
607	20002	100
#  ==== Block  ====
# pink
621	90001	100
622	90002	100
623	90003	100
# cyan
624	90004	100
625	90005	100
626	90006	100
# green
627	90007	100
628	90008	100
629	90009	100
# white
630	90010	100
631	90011	100
632	90012	100
#  ==== Pipe ==== 
611	50021	100
612	50022	100
613	50023	100
614	50024	100
# ==== Coin ====
300	30000	100	30001	100	30002	100	30001	100
# ==== Leaf ====
301	30010	100
302	30011	100
# ==== MushRoom ====
303	30012	100
304	30013	100
# ==== Switch ====
305	30014	100	30015	100
306	30016	100
# ==== Goomba  =========
# --- Yellow ---
#walk
2013	70301	100	70302	100
#die
2014	70303	100
# --- Red ---
#jump
1671	60086	100	60088	100	60087	100	60089	100
#walk wing
1672	60090	100	60091	100
#walk			
1673	60092	100	60093	100
#die
1675	60099	100
#  ==== Koopas ====
# --- Right ---
# walk right
4000	40000	200	40001	200
# spin right
4020	40200	50	40201	50	40202	50
# --- Left ---
# walk left
4001	40010	200	40011	200
# spin left
4021	40210	50	40211	50	40212	50
# shell
4070	40710	100
# shake
4083	40830	50	40831	50
#die up
4093	40930	100
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# Mario
1	100	1000	1060	1010	1020	1023	1030	101	1001	1061	1011	1021	1024	1031
1	110	1100	1160	1110	1120	1123	1130	1140	111	1101	1161	1111	1121	1124	1131	1141
1	120	1200	1260	1210	1220	1223	1230	1240	121	1201	1261	1211	1221	1224	1231	1241
1	130	1300	1360	1310	1320	1323	1330	1340	131	1301	1361	1311	1321	1324	1331	1341	1099
1	10500	10510	10530	10570	10501	10511	10531	10571
1	11500	11510	11530	11570	11501	11511	11531	11571
1	12500	12510	12530	12570	12501	12511	12531	12571
1	13500	13510	13530	13570	13501	13511	13531	13571
1	1280	1281	1226	1228	1380	1381	1382	1383
1	10620	10621	11620	11621	12620	12630	12640	12621	12631	12641	13620	13621
1	1400	1401	1420
9	90	91
# Brick
46	601
# cloud Brick 
26	607
# question Mark Brick 
42	602	6021	606
# platform Brick
95	603
96	604
97	605
# Brick With Animation
12	606
# Peice
126	6061
# Block Line
# pink
15	621
16	622
17	623
# cyan
52	624
53	625
54	626
# green
33	627
34	628
35	629
# white
43	630
44	631
45	632
# Pipe
10	611
11	612
13	613
14	614
# Coin
6	300
# Leaf
36	301	302
# MushRoom
37	303	304
# Switch
77	305	306
# Goomba
2	2013	2014	1671	1672	1673	1675
# Koopas
3	4000	4020	4001	4021	4070	4083	4093
# 
[OBJECTS]
# type	x	y	ani_set_id	tag	tag1	tag2	
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Block
# MARIO
0	0	400	1
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
9	0	-1	9
# === Brick === 
# --- question brick ---
142	176	352	42	0
142	192	352	42	0
142	224	304	42	0
142	240	304	42	1
142	416	320	42	0
142	656	384	42	1
142	704	352	42	0
142	1440	128	42	4	1
142	1472	368	42	2
142	2032	368	42	6	1
# --- brick with flash animation ---
112	1984	368	12
112	2000	368	12
112	2016	368	12
112	1968	384	12
112	1984	384	12
112	2000	384	12
112	2016	384	12
112	2032	384	12
112	2096	384	12
112	1952	400	12
112	1968	400	12
112	1984	400	12
112	2000	400	12
112	2016	400	12
112	2032	400	12
112	2048	400	12
112	2096	400	12
112	2112	400	12
# --- woody brick ----
1	2256	304	46
1	2272	304	46
1	1504	336	46
1	1520	336	46
1	1600	368	46
1	1664	368	46
1	2256	368	46
1	2272	368	46
1	1584	384	46
1	1600	384	46
1	1664	384	46
1	1680	384	46
1	1568	400	46
1	1584	400	46
1	1600	400	46
1	1664	400	46
1	1680	400	46
1	1696	400	46
# ---- cloudy brick ----
1	1488	176	26
1	1504	176	26
1	1520	176	26
1	1536	176	26
1	1552	176	26
1	1568	176	26
1	1584	176	26
1	1600	176	26
1	1616	176	26
1	1632	176	26
1	1648	176	26
1	1664	176	26
1	1680	176	26
1	1408	192	26
1	1424	192	26
1	1440	192	26
1	1456	192	26 
# ---- platform brick ----
1	624	400	95	1
1	0	416	95	1
1	1152	416	95	1
1	1536	416	95	1
1	1664	416	95	1
1	2256	416	95	1
1	640	400	96	1
1	656	400	96	1
1	672	400	96	1
1	688	400	96	1
1	704	400	96	1
1	720	400	96	1
1	736	400	96	1
1	752	400	96	1
1	768	400	96	1
1	784	400	96	1
1	800	400	96	1
1	816	400	96	1
1	832	400	96	1
1	848	400	96	1
1	864	400	96	1
1	880	400	96	1
1	896	400	96	1
1	912	400	96	1
1	928	400	96	1
1	944	400	96	1
1	960	400	96	1
1	976	400	96	1
1	992	400	96	1
1	1008	400	96	1
1	1024	400	96	1
1	1040	400	96	1
1	1056	400	96	1
1	16	416	96	1
1	32	416	96	1
1	48	416	96	1
1	64	416	96	1
1	80	416	96	1
1	96	416	96	1
1	112	416	96	1
1	128	416	96	1
1	144	416	96	1
1	160	416	96	1
1	176	416	96	1
1	192	416	96	1
1	208	416	96	1
1	224	416	96	1
1	240	416	96	1
1	256	416	96	1
1	272	416	96	1
1	288	416	96	1
1	304	416	96	1
1	320	416	96	1
1	336	416	96	1
1	352	416	96	1
1	368	416	96	1
1	384	416	96	1
1	400	416	96	1
1	416	416	96	1
1	432	416	96	1
1	448	416	96	1
1	464	416	96	1
1	480	416	96	1
1	496	416	96	1
1	512	416	96	1
1	528	416	96	1
1	544	416	96	1
1	560	416	96	1
1	576	416	96	1
1	592	416	96	1
1	1168	416	96	1
1	1184	416	96	1
1	1200	416	96	1
1	1216	416	96	1
1	1232	416	96	1
1	1248	416	96	1
1	1264	416	96	1
1	1280	416	96	1
1	1296	416	96	1
1	1312	416	96	1
1	1328	416	96	1
1	1344	416	96	1
1	1360	416	96	1
1	1376	416	96	1
1	1392	416	96	1
1	1408	416	96	1
1	1424	416	96	1
1	1440	416	96	1
1	1456	416	96	1
1	1472	416	96	1
1	1552	416	96	1
1	1568	416	96	1
1	1584	416	96	1
1	1680	416	96	1
1	1696	416	96	1
1	1712	416	96	1
1	1728	416	96	1
1	1744	416	96	1
1	1760	416	96	1
1	1776	416	96	1
1	1792	416	96	1
1	1808	416	96	1
1	1824	416	96	1
1	1840	416	96	1
1	1856	416	96	1
1	1872	416	96	1
1	1888	416	96	1
1	1904	416	96	1
1	1920	416	96	1
1	1936	416	96	1
1	1952	416	96	1
1	1968	416	96	1
1	1984	416	96	1
1	2000	416	96	1
1	2016	416	96	1
1	2032	416	96	1
1	2048	416	96	1
1	2064	416	96	1
1	2080	416	96	1
1	2096	416	96	1
1	2112	416	96	1
1	2128	416	96	1
1	2144	416	96	1
1	2160	416	96	1
1	2176	416	96	1
1	2192	416	96	1
1	2208	416	96	1
1	2272	416	96	1
1	2288	416	96	1
1	2304	416	96	1
1	2320	416	96	1
1	2336	416	96	1
1	2352	416	96	1
1	2368	416	96	1
1	2384	416	96	1
1	2400	416	96	1
1	2416	416	96	1
1	2432	416	96	1
1	2448	416	96	1
1	2464	416	96	1
1	2480	416	96	1
1	2496	416	96	1
1	2512	416	96	1
1	2528	416	96	1
1	2544	416	96	1
1	2560	416	96	1
1	2576	416	96	1
1	2592	416	96	1
1	2608	416	96	1
1	2624	416	96	1
1	2640	416	96	1
1	2656	416	96	1
1	2672	416	96	1
1	2688	416	96	1
1	2704	416	96	1
1	2720	416	96	1
1	2736	416	96	1
1	2752	416	96	1
1	2768	416	96	1
1	2784	416	96	1
1	1072	400	97	1
1	608	416	97	1
1	1488	416	97	1
1	1600	416	97	1
1	2224	416	97	1
1	2800	416	97	1
# --- Pipe --- 
1	2256	112	10	10
1	352	368	10	10
1	1856	368	10	10
1	1792	384	10	10
1	2320	384	10	10
1	2272	112	11	10
1	368	368	11	10
1	1872	368	11	10
1	1808	384	11	10
1	2336	384	11	10
1	2256	128	13	10
1	2256	144	13	10
1	2256	160	13	10
1	2256	176	13	10
1	2256	192	13	10
1	2256	208	13	10
1	2256	224	13	10
1	2256	240	13	10
1	2256	256	13	10
1	2256	272	13	10
1	2256	288	13	10
1	352	384	13	10
1	1856	384	13	10
1	2256	384	13	10
1	352	400	13	10
1	1792	400	13	10
1	1856	400	13	10
1	2256	400	13	10
1	2320	400	13	10
1	2272	128	14	10
1	2272	144	14	10
1	2272	160	14	10
1	2272	176	14	10
1	2272	192	14	10
1	2272	208	14	10
1	2272	224	14	10
1	2272	240	14	10
1	2272	256	14	10
1	2272	272	14	10
1	2272	288	14	10
1	368	384	14	10
1	1872	384	14	10
1	2272	384	14	10
1	368	400	14	10
1	1808	400	14	10
1	1872	400	14	10
1	2272	400	14	10
1	2336	400	14	10
# === Block Line === 
4	1312	144	15	2
4	464	336	15	2
4	1296	352	15	2
4	240	368	15	2
4	2144	368	15	2
4	1328	144	16	
4	1344	144	16	
4	480	336	16	
4	496	336	16	
4	1312	352	16	
4	1328	352	16	
4	1344	352	16	
4	1360	352	16	
4	1376	352	16	
4	256	368	16	
4	2160	368	16	
4	1360	144	17	3
4	512	336	17	3
4	1392	352	17	3
4	272	368	17	3
4	2176	368	17	3
4	2176	272	33	2
4	400	368	33	2
4	512	384	33	2
4	1264	384	33	2
4	2192	272	34	
4	416	368	34	
4	432	368	34	
4	448	368	34	
4	528	384	34	
4	544	384	34	
4	560	384	34	
4	576	384	34	
4	1280	384	34	
4	1296	384	34	
4	1312	384	34	
4	1328	384	34	
4	1344	384	34	
4	2208	272	35	3
4	464	368	35	3
4	592	384	35	3
4	1360	384	35	3
4	1328	320	52	2
4	272	336	52	2
4	1344	320	53	
4	1360	320	53	
4	1376	320	53	
4	1392	320	53	
4	1408	320	53	
4	288	336	53	
4	1424	320	54	3
4	304	336	54	3
4	512	304	43	2
4	528	304	44	
4	544	304	44	
4	560	304	45	3
# === Coin ===
6	1072	320	6	6
6	1104	288	6	6
6	1136	256	6	6
6	1168	224	6	6
6	1200	192	6	6
6	1328	80	6	6
6	1344	80	6	6
6	1360	80	6	6
6	1472	112	6	6
6	1488	112	6	6
6	1536	128	6	6
6	1552	128	6	6
6	1568	128	6	6
6	1584	128	6	6
6	1616	112	6	6
6	1632	112	6	6
6	1648	112	6	6
6	1664	112	6	6
6	1696	144	6	6
6	1728	112	6	6
6	1760	128	6	6
6	1808	96	6	6
6	1840	128	6	6
# === Goomba === 
# --- Yellow ---
#2	224	360	2	1
#2	528	340	2	0

# --- Red ---
# === Koopas === 
#3	1344	140	3	0
#3	528	340	3	0
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	316	150	2
